id,text_snippet,labels,processed_text,label_list,extracted_entities
176,What predictive modeling can help us improve our current processes?,Positive,predictive modeling help u improve current process,['Positive'],"{""features"": [""predictive modeling""]}"
177,I'm seeing quotes from Nas and Co. What makes your solution different?,Competition,im seeing quote na co make solution different,['Competition'],"{""competitors"": [""Nas and Co""], ""GPE"": [""Nas""]}"
178,What analytics can help us improve our current processes?,Positive,analytics help u improve current process,['Positive'],"{""features"": [""analytics""]}"
179,We're looking at solutions in the manufacturing sector. data silos is our main challenge.,Industry Specific,looking solution manufacturing sector data silo main challenge,['Industry Specific'],"{""pain_points"": [""data silos""], ""industries"": [""manufacturing""]}"
180,I'm seeing quotes from Nas and Co. What makes your solution different?,Competition,im seeing quote na co make solution different,['Competition'],"{""competitors"": [""Nas and Co""], ""GPE"": [""Nas""]}"
181,How do you address reliability for enterprise clients?,Technical Inquiry,address reliability enterprise client,['Technical Inquiry'],"{""technical_concerns"": [""reliability""]}"
182,How do you address data security for enterprise clients?,Technical Inquiry,address data security enterprise client,['Technical Inquiry'],"{""technical_concerns"": [""data security""]}"
183,What analytics can help us improve our current processes?,Positive,analytics help u improve current process,['Positive'],"{""features"": [""analytics""]}"
184,I'm seeing quotes from Nas and Co. What makes your solution different?,Competition,im seeing quote na co make solution different,['Competition'],"{""competitors"": [""Nas and Co""], ""GPE"": [""Nas""]}"
185,How do you address reliability for enterprise clients?,Technical Inquiry,address reliability enterprise client,['Technical Inquiry'],"{""technical_concerns"": [""reliability""]}"
186,Currently current contract expiring. Can you walk me through your offering?,Positive,currently current contract expiring walk offering,['Positive'],{}
187,We're experiencing data silos and need a robust solution.,Positive,experiencing data silo need robust solution,['Positive'],"{""pain_points"": [""data silos""]}"
188,What predictive modeling can help us improve our current processes?,Positive,predictive modeling help u improve current process,['Positive'],"{""features"": [""predictive modeling""]}"
189,Budget is tight. complex implementation.,Pricing Discussion,budget tight complex implementation,['Pricing Discussion'],"{""pricing_keywords"": [""Budget""], ""ORG"": [""Budget""]}"
190,I'm seeing quotes from MosDef Analytics. What makes your solution different?,Competition,im seeing quote mosdef analytics make solution different,['Competition'],"{""competitors"": [""MosDef Analytics""], ""features"": [""Analytics""], ""ORG"": [""MosDef Analytics""]}"
191,How do you address reliability for enterprise clients?,Technical Inquiry,address reliability enterprise client,['Technical Inquiry'],"{""technical_concerns"": [""reliability""]}"
192,Our CIO is interested in understanding cost savings.,Decision Maker Interaction,cio interested understanding cost saving,['Decision Maker Interaction'],"{""decision_makers"": [""CIO""]}"
193,Our CFO is interested in understanding improved decision-making.,Decision Maker Interaction,cfo interested understanding improved decisionmaking,['Decision Maker Interaction'],"{""decision_makers"": [""CFO""], ""ORG"": [""CFO""]}"
194,We're experiencing integration challenges and need a robust solution.,Technical Inquiry,experiencing integration challenge need robust solution,['Technical Inquiry'],"{""pain_points"": [""integration challenges""], ""technical_concerns"": [""integration""]}"
195,How do you address performance for enterprise clients?,Technical Inquiry,address performance enterprise client,['Technical Inquiry'],"{""technical_concerns"": [""performance""]}"
196,We're experiencing manual reporting and need a robust solution.,Positive,experiencing manual reporting need robust solution,['Positive'],"{""pain_points"": [""manual reporting""]}"
197,Currently current contract expiring. Can you walk me through your offering?,Positive,currently current contract expiring walk offering,['Positive'],{}
198,We're looking at solutions in the healthcare sector. scalability issues is our main challenge.,"Technical Inquiry, Industry Specific",looking solution healthcare sector scalability issue main challenge,"['Technical Inquiry', 'Industry Specific']","{""pain_points"": [""scalability issues""], ""industries"": [""healthcare""], ""technical_concerns"": [""scalability""]}"
199,We're looking at solutions in the telecommunications sector. manual reporting is our main challenge.,Industry Specific,looking solution telecommunication sector manual reporting main challenge,['Industry Specific'],"{""pain_points"": [""manual reporting""], ""industries"": [""telecommunications""]}"
200,We're looking at solutions in the retail sector. manual reporting is our main challenge.,Industry Specific,looking solution retail sector manual reporting main challenge,['Industry Specific'],"{""pain_points"": [""manual reporting""], ""industries"": [""retail""]}"
